Date,Open,High,Low,Close,Adj Close,Volume
2022-02-07,138.000000,138.080002,135.600006,136.399994,136.031952,1726100
2022-02-08,136.320007,137.250000,134.250000,134.369995,134.007416,2264900
2022-02-09,135.759995,136.000000,132.580002,135.789993,135.423584,1955800
2022-02-10,133.190002,136.899994,133.190002,134.979996,134.615784,1718600
2022-02-11,134.979996,136.419998,133.800003,134.100006,133.738159,1647900
2022-02-14,133.880005,134.460007,132.440002,133.399994,133.040039,1680500
2022-02-15,134.399994,135.460007,133.360001,134.500000,134.137070,1739100
2022-02-16,133.750000,134.600006,131.460007,133.289993,132.930344,2369300
2022-02-17,133.070007,133.070007,129.929993,130.399994,130.048126,1735700
2022-02-18,130.009995,131.169998,128.919998,129.330002,128.981033,2002000
2022-02-22,128.050003,129.639999,126.599998,127.089996,126.747063,2182600
2022-02-23,127.879997,129.250000,126.480003,126.720001,126.378067,1908600
2022-02-24,123.910004,127.669998,123.800003,127.500000,127.155968,2083600
2022-02-25,128.339996,129.029999,126.860001,128.710007,128.362701,2058600
2022-02-28,127.760002,131.490005,127.760002,130.089996,129.738983,3489100
2022-03-01,130.550003,131.589996,127.529999,128.149994,127.804199,1420400
2022-03-02,128.240005,129.720001,127.620003,129.259995,128.911209,1641800
2022-03-03,130.190002,130.399994,127.430000,127.839996,127.495041,1305700
2022-03-04,126.779999,127.690002,126.239998,126.489998,126.148689,1845600
2022-03-07,126.470001,128.550003,125.070000,126.260002,125.919312,2060200
2022-03-08,125.480003,125.870003,122.199997,122.669998,122.503937,2211600
2022-03-09,124.040001,125.959999,123.290001,125.519997,125.350075,2139500
2022-03-10,124.629997,125.980003,122.660004,123.680000,123.512573,1222000
2022-03-11,124.629997,125.459999,122.169998,122.330002,122.164398,1195200
2022-03-14,122.180000,122.430000,118.239998,119.129997,118.968727,1968000
2022-03-15,119.139999,121.110001,117.580002,120.800003,120.636475,1815900
2022-03-16,121.290001,123.889999,121.129997,123.800003,123.632408,1627800
2022-03-17,123.440002,125.239998,122.669998,125.180000,125.010536,1297300
2022-03-18,124.269997,126.480003,123.389999,126.279999,126.109047,2653400
2022-03-21,125.089996,126.400002,124.639999,125.559998,125.390022,1222100
2022-03-22,125.949997,128.179993,124.750000,127.930000,127.756813,1710000
2022-03-23,127.379997,128.059998,124.059998,124.639999,124.471268,2158400
2022-03-24,125.059998,125.570000,123.629997,125.570000,125.400009,2273400
2022-03-25,126.029999,127.510002,125.300003,127.320000,127.147644,1315600
2022-03-28,127.669998,128.119995,126.150002,128.039993,127.866661,1066000
2022-03-29,129.229996,129.720001,127.300003,128.830002,128.655594,1495300
2022-03-30,128.029999,128.869995,127.129997,127.680000,127.507156,1097000
2022-03-31,128.179993,128.190002,125.849998,126.510002,126.338737,1751000
2022-04-01,126.849998,127.190002,123.339996,125.230003,125.060478,2194000
2022-04-04,125.809998,128.559998,125.449997,128.020004,127.846695,1522600
2022-04-05,127.150002,128.729996,125.500000,125.860001,125.689621,1012400
2022-04-06,125.260002,126.989998,124.360001,124.849998,124.680984,1972000
2022-04-07,124.940002,125.339996,122.529999,123.400002,123.232948,1758000
2022-04-08,122.879997,124.570000,122.230003,123.480003,123.312843,1282400
2022-04-11,123.220001,124.720001,122.330002,122.580002,122.414063,1793100
2022-04-12,123.370003,124.550003,122.949997,123.570000,123.402718,2581800
2022-04-13,123.989998,124.150002,122.279999,123.620003,123.452652,1532600
2022-04-14,123.629997,123.959999,121.190002,122.599998,122.434029,2036400
2022-04-18,122.339996,123.449997,121.150002,122.160004,121.994629,1536600
2022-04-19,120.120003,124.309998,120.120003,124.040001,123.872086,1547300
2022-04-20,124.099998,124.849998,123.129997,123.309998,123.143066,1571600
2022-04-21,123.430000,125.680000,123.430000,123.739998,123.572487,2442400
2022-04-22,124.830002,128.550003,123.629997,128.089996,127.916595,4237300
2022-04-25,127.730003,128.679993,125.169998,128.149994,127.976509,2718400
2022-04-26,127.769997,128.009995,124.339996,124.629997,124.461281,1911600
2022-04-27,124.470001,124.599998,121.010002,121.220001,121.055901,2553100
2022-04-28,122.820000,124.300003,121.669998,123.410004,123.242935,1663000
2022-04-29,123.010002,124.019997,117.739998,118.050003,117.890198,3008100
2022-05-02,118.750000,121.570000,117.750000,120.000000,119.837555,2932200
2022-05-03,120.050003,122.690002,120.019997,122.510002,122.344154,2319200
2022-05-04,122.879997,123.849998,120.349998,123.720001,123.552513,1865200
2022-05-05,123.089996,123.589996,118.300003,119.610001,119.448082,2135300
2022-05-06,119.160004,119.500000,114.389999,115.290001,115.133926,2122500
2022-05-09,114.290001,114.790001,111.699997,112.040001,111.888329,3465600
2022-05-10,113.059998,113.629997,109.239998,111.599998,111.448921,6505800
2022-05-11,114.599998,126.269997,114.110001,120.489998,120.326889,7986700
2022-05-12,118.320000,122.160004,118.320000,120.949997,120.786263,4545000
2022-05-13,121.620003,125.279999,121.139999,124.940002,124.770866,3682500
2022-05-16,125.000000,128.899994,124.419998,127.389999,127.217545,2901900
2022-05-17,126.610001,132.580002,126.550003,128.470001,128.296082,3920200
2022-05-18,126.900002,130.110001,126.559998,128.970001,128.795410,4177100
2022-05-19,129.020004,133.139999,128.449997,130.020004,129.843994,3542800
2022-05-20,130.820007,132.580002,126.519997,130.759995,130.582977,4727700
2022-05-23,134.559998,137.729996,132.619995,133.770004,133.588913,4589800
2022-05-24,132.699997,137.789993,132.490005,136.679993,136.494965,4920100
2022-05-25,135.960007,137.660004,134.470001,137.350006,137.164063,2717200
2022-05-26,137.479996,139.250000,137.330002,138.679993,138.492249,1685600
2022-05-27,139.000000,140.160004,137.550003,138.529999,138.342468,2411900
2022-05-31,137.899994,139.259995,136.320007,138.649994,138.462296,2880300
2022-06-01,139.419998,140.100006,137.479996,139.529999,139.341110,2134500
2022-06-02,138.729996,141.740005,137.619995,141.500000,141.308441,2868100
2022-06-03,140.690002,142.789993,140.160004,141.000000,140.809128,2924200
2022-06-06,141.460007,142.229996,139.869995,140.350006,140.160004,1649200
2022-06-07,139.029999,141.020004,138.720001,140.970001,140.970001,1847200
2022-06-08,140.630005,141.470001,138.750000,139.220001,139.220001,1702500
2022-06-09,138.330002,140.179993,135.779999,135.809998,135.809998,2239800
2022-06-10,133.529999,134.979996,132.750000,133.440002,133.440002,2052800
2022-06-13,131.259995,131.910004,128.669998,128.759995,128.759995,2809700
2022-06-14,129.160004,129.770004,126.279999,127.370003,127.370003,2422100
2022-06-15,127.650002,130.600006,127.050003,129.259995,129.259995,2210100
2022-06-16,126.870003,128.729996,126.029999,127.980003,127.980003,2329600
2022-06-17,127.760002,129.539993,125.849998,128.539993,128.539993,3726000
2022-06-21,129.779999,130.940002,128.580002,130.389999,130.389999,2222900
2022-06-22,129.199997,130.729996,128.820007,129.029999,129.029999,2083500
2022-06-23,128.979996,130.000000,127.709999,128.960007,128.960007,2048700
2022-06-24,130.199997,131.050003,128.539993,130.199997,130.199997,6940500
2022-06-27,129.119995,129.789993,123.239998,125.599998,125.599998,3597600
2022-06-28,125.910004,126.570000,122.610001,122.879997,122.879997,3250600
2022-06-29,123.050003,124.019997,121.680000,122.830002,122.830002,1973600
2022-06-30,122.430000,123.349998,121.070000,121.650002,121.650002,2319000
2022-07-01,120.900002,123.019997,120.709999,122.730003,122.730003,1185900
2022-07-05,121.519997,125.000000,120.540001,124.750000,124.750000,1773100
2022-07-06,124.889999,125.269997,123.500000,124.349998,124.349998,1517600
2022-07-07,124.139999,126.349998,123.769997,125.599998,125.599998,1770100
2022-07-08,124.830002,126.449997,124.199997,125.629997,125.629997,1386000
2022-07-11,125.300003,125.610001,123.680000,123.839996,123.839996,1291300
2022-07-12,123.730003,124.980003,121.730003,121.980003,121.980003,1250000
2022-07-13,120.250000,122.389999,119.540001,121.680000,121.680000,1726000
2022-07-14,121.050003,122.400002,120.190002,122.290001,122.290001,1315300
2022-07-15,122.750000,124.120003,122.720001,123.160004,123.160004,1244600
2022-07-18,124.120003,125.220001,123.190002,123.620003,123.620003,1584500
2022-07-19,124.709999,126.879997,124.089996,126.750000,126.750000,1854800
2022-07-20,126.790001,128.270004,126.220001,127.589996,127.589996,1365100
2022-07-21,128.110001,130.380005,127.220001,130.210007,130.210007,2306100
2022-07-22,130.009995,132.020004,129.770004,130.160004,130.160004,1486200
