Date,Open,High,Low,Close,Adj Close,Volume
2022-02-07,79.800003,79.980003,79.320000,79.500000,79.030235,9059700
2022-02-08,79.680000,80.790001,79.550003,80.230003,79.755928,9106200
2022-02-09,80.550003,81.860001,80.150002,81.500000,81.018417,11355900
2022-02-10,81.120003,81.940002,81.080002,81.449997,80.968712,9061300
2022-02-11,81.500000,81.830002,81.080002,81.500000,81.018417,6971000
2022-02-14,81.489998,81.629997,81.110001,81.500000,81.018417,7059100
2022-02-15,81.599998,82.000000,81.349998,81.519997,81.038300,9031000
2022-02-16,81.449997,81.779999,81.099998,81.459999,80.978653,6487300
2022-02-17,81.459999,81.500000,80.900002,80.970001,80.491554,4949100
2022-02-18,81.040001,81.529999,80.930000,81.050003,80.571083,7753700
2022-02-22,81.150002,81.870003,81.110001,81.230003,80.750015,10983600
2022-02-23,81.040001,81.120003,80.440002,80.709999,80.233086,9378400
2022-02-24,80.099998,81.180000,80.019997,81.010002,80.531319,10386900
2022-02-25,81.150002,81.540001,80.629997,81.440002,80.958778,5700500
2022-02-28,81.050003,81.570000,80.889999,81.500000,81.018417,10268500
2022-03-01,81.139999,81.500000,80.580002,80.879997,80.402077,8029000
2022-03-02,81.339996,81.669998,80.940002,81.480003,80.998543,8034500
2022-03-03,81.550003,81.650002,81.089996,81.500000,81.018417,7024100
2022-03-04,81.360001,81.830002,81.290001,81.430000,80.948830,7528200
2022-03-07,81.180000,81.500000,80.400002,80.550003,80.074036,8546000
2022-03-08,80.419998,81.440002,80.320000,81.029999,80.551193,7519800
2022-03-09,81.370003,81.489998,80.660004,80.830002,80.352379,9914500
2022-03-10,80.769997,81.269997,80.570000,80.800003,80.322556,6981400
2022-03-11,80.800003,81.199997,80.180000,80.309998,79.835449,10714300
2022-03-14,80.050003,80.440002,79.449997,79.550003,79.079948,9536000
2022-03-15,79.430000,79.800003,79.150002,79.510002,79.040184,7352800
2022-03-16,79.779999,79.849998,78.739998,79.120003,78.652489,10726500
2022-03-17,79.480003,79.480003,78.610001,78.889999,78.423843,7955700
2022-03-18,78.750000,79.360001,78.550003,78.760002,78.294609,16205000
2022-03-21,78.839996,79.099998,78.410004,78.839996,78.374130,7753600
2022-03-22,78.900002,79.430000,78.900002,79.300003,78.831421,6444500
2022-03-23,79.150002,79.839996,79.029999,79.070000,78.602776,5308100
2022-03-24,79.349998,79.650002,78.959999,79.620003,79.149529,3717400
2022-03-25,79.669998,79.970001,79.500000,79.599998,79.129646,5384100
2022-03-28,79.309998,80.070000,79.180000,80.010002,79.537224,4970300
2022-03-29,80.150002,80.750000,80.150002,80.750000,80.272850,5527000
2022-03-30,80.510002,80.660004,80.309998,80.360001,79.885155,5134600
2022-03-31,80.400002,80.750000,79.930000,80.110001,79.636635,7491900
2022-04-01,79.830002,80.870003,79.779999,80.820000,80.342438,3759300
2022-04-04,80.820000,80.949997,80.470001,80.730003,80.252975,6517700
2022-04-05,80.610001,81.129997,80.260002,80.379997,79.905037,3598300
2022-04-06,79.949997,80.519997,79.949997,80.110001,79.636635,4879400
2022-04-07,80.129997,80.449997,79.980003,80.110001,79.636635,3939900
2022-04-08,80.050003,80.449997,79.910004,80.089996,79.616745,3146600
2022-04-11,80.000000,80.250000,79.419998,79.480003,79.010361,4399400
2022-04-12,79.589996,79.820000,79.410004,79.540001,79.070000,4738900
2022-04-13,79.330002,79.379997,78.790001,79.099998,79.099998,5948300
2022-04-14,78.959999,79.169998,78.849998,78.930000,78.930000,4571600
2022-04-18,78.800003,79.120003,78.720001,79.059998,79.059998,6200600
2022-04-19,78.910004,79.349998,78.809998,79.029999,79.029999,3455300
2022-04-20,79.120003,79.309998,78.860001,78.910004,78.910004,3419200
2022-04-21,79.029999,79.110001,78.690002,78.900002,78.900002,3623500
2022-04-22,78.849998,79.010002,78.529999,78.610001,78.610001,3893100
2022-04-25,78.209999,78.470001,77.410004,78.050003,78.050003,8668500
2022-04-26,77.820000,78.059998,77.019997,77.059998,77.059998,10783600
2022-04-27,76.820000,77.279999,76.059998,76.099998,76.099998,7318800
2022-04-28,76.449997,77.360001,76.180000,76.699997,76.699997,8164800
2022-04-29,76.410004,76.750000,75.330002,75.599998,75.599998,8847700
2022-05-02,77.169998,78.220001,76.940002,78.059998,78.059998,14708200
2022-05-03,78.500000,79.389999,78.180000,78.779999,78.779999,10984100
2022-05-04,79.080002,79.500000,78.660004,79.239998,79.239998,8101500
2022-05-05,79.110001,79.110001,78.529999,78.760002,78.760002,7754900
2022-05-06,78.699997,78.860001,77.480003,77.839996,77.839996,10358600
2022-05-09,77.419998,77.639999,76.339996,77.169998,77.169998,8484400
2022-05-10,77.709999,77.879997,76.150002,76.919998,76.919998,6761300
2022-05-11,76.680000,78.139999,76.449997,77.470001,77.470001,6490000
2022-05-12,76.879997,77.870003,76.500000,77.379997,77.379997,5109200
2022-05-13,77.430000,78.320000,77.339996,77.739998,77.739998,4681300
2022-05-16,77.480003,78.029999,77.379997,78.000000,78.000000,3481700
2022-05-17,78.500000,78.570000,78.000000,78.540001,78.540001,4087200
2022-05-18,78.529999,78.620003,77.790001,77.919998,77.919998,3921000
2022-05-19,77.919998,78.290001,77.410004,77.739998,77.739998,4844400
2022-05-20,78.059998,78.209999,77.010002,77.400002,77.400002,4896100
2022-05-23,77.940002,78.150002,77.099998,77.199997,77.199997,4128100
2022-05-24,77.070000,77.330002,76.400002,77.029999,77.029999,4908900
2022-05-25,77.080002,77.769997,77.000000,77.709999,77.709999,3468900
2022-05-26,77.589996,78.120003,77.360001,77.989998,77.989998,4489300
2022-05-27,78.209999,78.639999,77.930000,78.199997,78.199997,3549600
2022-05-31,77.879997,78.830002,77.360001,77.879997,77.879997,11771200
2022-06-01,78.050003,78.209999,77.040001,77.410004,77.410004,4173700
2022-06-02,77.500000,78.290001,77.330002,78.230003,78.230003,3409600
2022-06-03,77.839996,78.110001,77.660004,77.889999,77.889999,2639700
2022-06-06,78.199997,78.519997,77.720001,77.790001,77.790001,3468800
2022-06-07,77.629997,78.099998,77.529999,78.029999,78.029999,2192400
2022-06-08,77.940002,78.150002,77.470001,77.629997,77.629997,2455100
2022-06-09,77.510002,77.690002,76.620003,76.779999,76.779999,4295200
2022-06-10,76.500000,77.019997,76.050003,76.480003,76.480003,3817700
2022-06-13,75.930000,76.010002,74.720001,74.760002,74.760002,5916200
2022-06-14,75.250000,75.400002,74.239998,74.639999,74.639999,3852900
2022-06-15,75.129997,75.910004,74.470001,75.349998,75.349998,5679500
2022-06-16,75.000000,75.400002,73.709999,73.930000,73.930000,7498200
2022-06-17,74.000000,75.269997,73.720001,74.709999,74.709999,9405700
2022-06-21,75.110001,76.309998,75.099998,76.050003,76.050003,6810500
2022-06-22,75.500000,76.250000,75.500000,75.699997,75.699997,4180300
2022-06-23,76.300003,76.669998,75.769997,76.489998,76.489998,3614000
2022-06-24,76.779999,78.029999,76.570000,77.940002,77.940002,6541300
2022-06-27,77.629997,78.320000,77.339996,78.010002,78.010002,5836600
2022-06-28,78.099998,78.239998,76.940002,77.160004,77.160004,4216300
2022-06-29,77.349998,78.150002,77.180000,77.959999,77.959999,4533300
2022-06-30,77.599998,78.110001,77.190002,77.860001,77.860001,4205000
2022-07-01,77.970001,78.680000,77.699997,78.570000,78.570000,4209000
2022-07-05,78.550003,79.000000,77.800003,78.870003,78.870003,5144400
2022-07-06,78.570000,78.860001,78.099998,78.370003,78.370003,3105500
2022-07-07,78.239998,78.720001,77.610001,78.610001,78.610001,4356500
2022-07-08,78.150002,78.809998,77.860001,78.129997,78.129997,4155000
2022-07-11,77.919998,78.379997,77.610001,77.790001,77.790001,3047500
2022-07-12,77.900002,78.209999,76.400002,76.540001,76.540001,6602000
2022-07-13,76.059998,76.550003,75.790001,75.959999,75.959999,4946500
2022-07-14,75.650002,76.440002,75.379997,76.239998,76.239998,3252200
2022-07-15,76.410004,77.410004,76.230003,77.389999,77.389999,5725300
2022-07-18,77.580002,78.070000,76.879997,76.989998,76.989998,5757800
2022-07-19,77.400002,78.709999,77.180000,78.629997,78.629997,5736900
2022-07-20,78.830002,79.379997,78.349998,79.300003,79.300003,4270400
2022-07-21,79.349998,79.529999,79.099998,79.489998,79.489998,3479900
2022-07-22,79.529999,79.529999,78.889999,79.230003,79.230003,2977600
